symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2019-05-31 00:00:00+00:00,1106.5,1113.4,1103.35,1105.64,1579481,1106.5,1113.4,1103.35,1105.64,1579481,0.0,1.0
GOOGL,2019-06-03 00:00:00+00:00,1038.74,1067.0,1027.03,1066.93,4844480,1038.74,1067.0,1027.03,1066.93,4844480,0.0,1.0
GOOGL,2019-06-04 00:00:00+00:00,1054.49,1058.44,1036.03,1044.49,3025564,1054.49,1058.44,1036.03,1044.49,3025564,0.0,1.0
GOOGL,2019-06-05 00:00:00+00:00,1044.64,1056.81,1033.0,1055.0,2349436,1044.64,1056.81,1033.0,1055.0,2349436,0.0,1.0
GOOGL,2019-06-06 00:00:00+00:00,1047.76,1050.0,1035.51,1046.21,1451026,1047.76,1050.0,1035.51,1046.21,1451026,0.0,1.0
GOOGL,2019-06-07 00:00:00+00:00,1068.37,1073.43,1051.15,1054.28,2191357,1068.37,1073.43,1051.15,1054.28,2191357,0.0,1.0
GOOGL,2019-06-10 00:00:00+00:00,1082.76,1094.84,1075.28,1077.0,1425464,1082.76,1094.84,1075.28,1077.0,1425464,0.0,1.0
GOOGL,2019-06-11 00:00:00+00:00,1081.04,1104.01,1079.57,1096.99,1675817,1081.04,1104.01,1079.57,1096.99,1675817,0.0,1.0
GOOGL,2019-06-12 00:00:00+00:00,1079.1,1082.52,1069.6,1079.95,1183650,1079.1,1082.52,1069.6,1079.95,1183650,0.0,1.0
GOOGL,2019-06-13 00:00:00+00:00,1091.01,1096.59,1082.57,1084.71,1040661,1091.01,1096.59,1082.57,1084.71,1040661,0.0,1.0
GOOGL,2019-06-14 00:00:00+00:00,1086.3,1094.76,1081.48,1089.74,1229304,1086.3,1094.76,1081.48,1089.74,1229304,0.0,1.0
GOOGL,2019-06-17 00:00:00+00:00,1093.89,1101.28,1088.0,1089.1,988491,1093.89,1101.28,1088.0,1089.1,988491,0.0,1.0
GOOGL,2019-06-18 00:00:00+00:00,1105.24,1118.78,1100.79,1111.5,1726312,1105.24,1118.78,1100.79,1111.5,1726312,0.0,1.0
GOOGL,2019-06-19 00:00:00+00:00,1104.51,1109.43,1096.03,1107.24,1336015,1104.51,1109.43,1096.03,1107.24,1336015,0.0,1.0
GOOGL,2019-06-20 00:00:00+00:00,1113.2,1122.72,1107.0,1121.7,1200908,1113.2,1122.72,1107.0,1121.7,1200908,0.0,1.0
GOOGL,2019-06-21 00:00:00+00:00,1125.37,1126.57,1109.72,1109.86,2538872,1125.37,1126.57,1109.72,1109.86,2538872,0.0,1.0
GOOGL,2019-06-24 00:00:00+00:00,1116.7,1123.57,1113.31,1120.0,1211893,1116.7,1123.57,1113.31,1120.0,1211893,0.0,1.0
GOOGL,2019-06-25 00:00:00+00:00,1087.58,1115.7,1084.6,1115.08,1582217,1087.58,1115.7,1084.6,1115.08,1582217,0.0,1.0
GOOGL,2019-06-26 00:00:00+00:00,1080.32,1095.12,1073.69,1091.0,1734873,1080.32,1095.12,1073.69,1091.0,1734873,0.0,1.0
GOOGL,2019-06-27 00:00:00+00:00,1076.63,1088.46,1075.85,1086.75,1203914,1076.63,1088.46,1075.85,1086.75,1203914,0.0,1.0
GOOGL,2019-06-28 00:00:00+00:00,1082.8,1082.8,1073.8,1077.23,1683568,1082.8,1082.8,1073.8,1077.23,1683568,0.0,1.0
GOOGL,2019-07-01 00:00:00+00:00,1100.0,1108.59,1095.33,1101.04,1464449,1100.0,1108.59,1095.33,1101.04,1464449,0.0,1.0
GOOGL,2019-07-02 00:00:00+00:00,1112.6,1112.89,1099.67,1104.83,1031919,1112.6,1112.89,1099.67,1104.83,1031919,0.0,1.0
GOOGL,2019-07-03 00:00:00+00:00,1122.99,1127.99,1114.85,1118.5,1007718,1122.99,1127.99,1114.85,1118.5,1007718,0.0,1.0
GOOGL,2019-07-05 00:00:00+00:00,1132.66,1134.65,1117.5,1119.37,1489678,1132.66,1134.65,1117.5,1119.37,1489678,0.0,1.0
GOOGL,2019-07-08 00:00:00+00:00,1116.79,1127.21,1111.76,1125.87,1494371,1116.79,1127.21,1111.76,1125.87,1494371,0.0,1.0
GOOGL,2019-07-09 00:00:00+00:00,1124.29,1127.86,1107.15,1110.32,1473622,1124.29,1127.86,1107.15,1110.32,1473622,0.0,1.0
GOOGL,2019-07-10 00:00:00+00:00,1140.91,1142.34,1130.66,1132.32,1535546,1140.91,1142.34,1130.66,1132.32,1535546,0.0,1.0
GOOGL,2019-07-11 00:00:00+00:00,1144.08,1153.24,1139.53,1146.16,1300529,1144.08,1153.24,1139.53,1146.16,1300529,0.0,1.0
GOOGL,2019-07-12 00:00:00+00:00,1145.34,1147.5,1138.56,1142.93,1093933,1145.34,1147.5,1138.56,1142.93,1093933,0.0,1.0
GOOGL,2019-07-15 00:00:00+00:00,1150.51,1150.68,1140.0,1145.34,1058431,1150.51,1150.68,1140.0,1145.34,1058431,0.0,1.0
GOOGL,2019-07-16 00:00:00+00:00,1153.46,1158.58,1146.73,1146.73,1267641,1153.46,1158.58,1146.73,1146.73,1267641,0.0,1.0
